# zLya k PLya stat Pnoise PSB
4.4 0.002168 118.343 11.6408 7.24834 2.65051
4.4 0.00271 110.889 10.8051 7.30592 2.2686
4.4 0.003252 117.239 13.1746 7.45432 1.94614
4.4 0.003794 91.0629 8.93936 7.61143 1.6836
4.4 0.004336 101.493 10.0895 7.86453 1.47959
4.4 0.004878 94.1937 10.8544 7.95857 1.33118
4.4 0.00542 95.5208 9.5904 8.32344 1.2341
4.4 0.005962 93.63 9.22251 8.74321 1.18302
4.4 0.006504 80.5855 8.54189 9.10308 1.17178
4.4 0.007046 92.6439 8.77921 9.3544 1.19368
4.4 0.007588 86.2514 11.515 9.75625 1.24172
4.4 0.00813 79.1427 9.12291 10.0065 1.30883
4.4 0.008672 67.8403 6.75662 10.5352 1.38811
4.4 0.009214 78.578 10.1782 11.3446 1.47307
4.4 0.009756 79.4726 7.83541 11.8973 1.55781
4.4 0.010298 76.7504 9.5235 12.3336 1.63722
4.4 0.01084 71.4248 8.20363 13.1831 1.70713
4.4 0.011382 69.9042 7.19429 14.2069 1.76447
4.4 0.011924 63.6759 8.03954 15.1645 1.80738
4.4 0.012466 70.4621 8.51545 16.4178 1.83526
4.4 0.013008 69.3075 9.572 17.5401 1.84884
4.4 0.01355 65.1564 7.38391 19.3681 1.85019
4.4 0.014092 62.9284 7.37354 20.4314 1.84269
4.4 0.014634 49.9618 6.87238 23.2739 1.83097
4.4 0.015176 60.6144 8.11676 24.4258 1.82074
4.4 0.015718 47.4407 7.25202 27.658 1.81871
4.4 0.01626 58.4054 9.12759 30.1321 1.83228
4.4 0.016802 48.3921 6.98011 33.2567 1.86934
4.4 0.017344 58.6072 9.03694 37.0322 1.93793
4.4 0.017886 58.8483 8.60197 41.2219 2.0458
4.4 0.018428 34.3335 6.74524 45.8165 2.20002
4.4 0.01897 68.9081 11.3415 51.2937 2.40645
4.4 0.019512 36.2717 8.53382 59.0585 2.66912
4.6 0.001084 217.705 24.7649 8.05874 3.15731
4.6 0.001626 162.19 21.8015 7.88056 2.66742
4.6 0.002168 160.358 21.1845 8.06385 2.24133
4.6 0.00271 147.086 24.9276 8.41814 1.87934
4.6 0.003252 130.04 19.4781 8.42692 1.57981
4.6 0.003794 129.092 17.9863 8.50613 1.33955
4.6 0.004336 115.659 17.9035 8.86417 1.15415
4.6 0.004878 93.9621 12.8467 8.49794 1.01825
4.6 0.00542 112.392 17.1153 9.12526 0.925904
4.6 0.005962 134.639 26.7469 9.6321 0.87076
4.6 0.006504 134.006 18.867 10.1578 0.846326
4.6 0.007046 60.2407 8.95209 10.3183 0.846163
4.6 0.007588 100.799 16.4187 10.9126 0.86407
4.6 0.00813 82.2166 11.844 11.282 0.894232
4.6 0.008672 81.2195 9.48098 11.5216 0.931353
4.6 0.009214 81.026 15.8418 12.5409 0.970766
4.6 0.009756 89.6218 13.5595 12.8887 1.00852
4.6 0.010298 69.023 9.58764 13.5216 1.04142
4.6 0.01084 51.2752 10.1155 14.2777 1.0671
4.6 0.011382 82.2057 14.0417 15.4898 1.08405
4.6 0.011924 53.6655 10.7018 16.6796 1.09154
4.6 0.012466 71.511 13.4772 17.4727 1.08971
4.6 0.013008 72.2149 12.881 18.9312 1.07944
4.6 0.01355 56.3471 12.9065 20.8792 1.06235
4.6 0.014092 63.7564 11.321 22.0109 1.04067
4.6 0.014634 49.6679 11.0726 24.0418 1.0172
4.6 0.015176 62.4012 14.8331 25.7854 0.995166
4.6 0.015718 80.8356 12.0847 27.7349 0.978107
4.6 0.01626 71.101 13.6214 30.9032 0.969718
4.6 0.016802 78.9885 16.3782 34.8318 0.9737
4.6 0.017344 72.0648 11.9126 37.813 0.993587
4.6 0.017886 50.7051 11.7418 41.4172 1.03255
4.6 0.018428 52.0195 11.252 45.802 1.09322
4.6 0.01897 62.3186 12.2265 52.6154 1.17742
4.6 0.019512 34.7655 11.3956 59.2949 1.286
